"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"MGMTMFE 401 - HAYN, C.",0.319,0.191,0.021,0.404,NA,0.064,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 402 - ROSSI, P.E.",0.239,0.043,NA,0.522,0.022,0.174,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 403 - PANAGEAS, S.",0.34,0.043,0.128,0.128,0.043,0.319,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 410 - PELEG, E.",0.795,0.164,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 431 - HADDAD, V.P.",0.222,0.156,0.222,0.044,NA,0.356,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 431 - KRAFT, H.H.",0.225,0.425,0.2,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 431 - PANAGEAS, S.",0.182,NA,0.455,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 431 - SUBRAHMANYAM, A.",0.565,0.239,0.087,NA,NA,0.109,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 400 - ROSSI, P.E.",0.214,0.238,0.024,0.238,0.071,0.214,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 401 - MAOZ, U.M.",0.19,0.214,NA,0.238,0.167,0.19,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 402 - CHO, J.",0.349,0.093,0.093,0.116,0.07,0.209,NA,NA,0.047,NA,NA,NA,0.023
"MGMTMSA 403 - SIDDIQ, A.A.",0.667,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 412 - ZEITHAMMER, R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 431 - IQBAL, R.",0.261,0.13,0.391,0.13,NA,0.087,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 432 - THOMPSON, M.S.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 433 - PANALIGAN, R.A.",0.229,0.429,0.057,0.029,0.029,0.229,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 434 - VASHCHILENKO, D.",0.222,0.222,0.333,0.111,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 435 - DI GAETANO, K.",0.214,NA,0.036,0.357,0.143,0.036,0.214,NA,NA,NA,NA,NA,NA
"MGMTMSA 436 - BANNER KORENAGA, C",0.217,0.304,0.087,0.174,NA,0.217,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 437 - YU, W.",0.667,0.1,0.167,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"MGMTMSA 438 - ABRAMSON, J.D.",0.429,0.357,NA,0.143,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"MIL SCI 11 - TAVANTZIS, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIL SCI 131 - ANDERSON, L.W.",0.364,0.273,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIL SCI 21 - TAVANTZIS, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIMG 100L - ALI POUR, P.",0.525,0.164,0.213,NA,NA,0.082,NA,NA,NA,NA,NA,NA,0.016
"MIMG 101 - HILL, K.L.",0.389,0.092,0.347,0.079,0.013,0.046,NA,0.004,0.021,NA,NA,NA,0.008
"MIMG 103AL - FREISE, A.C.",0.195,0.22,0.488,0.049,0.049,NA,NA,NA,NA,NA,NA,NA,NA
"MIMG 103BL - ALI POUR, P.",0.25,0.042,0.667,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"MIMG 105 - BENTOLILA, L.",0.3,0.05,0.15,0.05,NA,0.15,0.3,NA,NA,NA,NA,NA,NA
"MIMG 168 - CAMPBELL, D.A.",0.217,0.072,0.108,0.289,0.048,0.145,0.072,NA,0.036,NA,NA,NA,0.012
"MIMG 180B - BENSINGER, S.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIMG 262A - BONAVIDA, B.",0.091,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND 101 - NAIMAN, T.H.",0.889,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND 102 - JOHNSON, G.L.",0.406,0.125,0.406,0.031,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"MSC IND 104A - FRANZEN, D.E.",0.447,0.105,0.316,0.026,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"MSC IND 107A - BEARD, J.R.",0.562,0.188,0.062,NA,0.062,0.062,NA,0.062,NA,NA,NA,NA,NA
"MSC IND 112A - PASTERNAK, N.J.",0.269,0.038,0.308,0.154,0.077,0.154,NA,NA,NA,NA,NA,NA,NA
"MSC IND 115 - MOSELEY, A.M.",0.514,0.027,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC IND M103 - TRAMO, M.J.",0.724,0.103,0.138,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA
"MUSC 110A - HEUSER, F.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 110B - CHEN-HAFTECK, L.",0.4,0.5,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"MUSC 114A - FLANAGAN LYSY, M.M",0.308,NA,0.462,NA,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"MUSC 114C - DEAN, M.F.",0.231,NA,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 116 - YI, M.H.",0.706,NA,0.059,0.118,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"MUSC 120A - DE SILVA, D.L.",0.176,0.294,NA,0.176,0.059,0.235,0.059,NA,NA,NA,NA,NA,NA
"MUSC 120A - LEFKOWITZ, D.S.",0.238,0.333,0.143,0.095,NA,0.19,NA,NA,NA,NA,NA,NA,NA
"MUSC 185F - MCKEOWN, K.O.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 185H - MCKEOWN, K.O.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 202 - HO, J.H.",0.8,0.067,NA,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 20A - MEITES, N.G.",0.621,0.172,0.069,NA,NA,0.069,0.034,NA,0.034,NA,NA,NA,NA
"MUSC 20A - MILBURN, D.S.",0.348,0.261,0.087,0.087,0.043,0.13,NA,NA,NA,NA,NA,NA,0.043
"MUSC 20A - OBA, H.M.",0.6,0.15,0.15,NA,NA,0.05,NA,NA,NA,NA,0.05,NA,NA
"MUSC 20A - PHELPS, B.J.",0.233,0.2,NA,0.167,0.067,0.233,0.033,0.033,0.033,NA,NA,NA,NA
"MUSC 255 - KROUSE, I.",0.625,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 261D - HO, J.H.",0.929,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC 292 - KINDERMAN, W.A.",0.353,0.412,0.118,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA
"MUSC 3 - PHELPS, B.J.",0.316,0.263,NA,0.211,NA,0.211,NA,NA,NA,NA,NA,NA,NA
"MUSC 472 - HAK, R.R.",0.75,0.083,NA,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"MUSC 50 - RODRIGUE, J.",0.111,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175A - LINDEMANN, J.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175D - DIMOND, T.A.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175E - AN, J.Y.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C175F - BERRY BAKER, J.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185A - BASS, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185B - BASS, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185C - FIELDING, C.",0.68,0.08,0.16,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA
"MUSC C185E - KLIGMAN, M.L.",0.909,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185G - CROSS, T.J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C185G - O'FARRILL, A.",0.879,NA,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC C485F - BERRY BAKER, J.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC M6A - SZABO, S.D.",0.583,NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSC M90T - WINKLE, M.D.",0.7,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 125A - UPTON, E.R.",0.328,0.164,0.279,0.082,0.066,0.049,0.016,NA,0.016,NA,NA,NA,NA
"MUSCLG 160 - REPLOGLE, H.D.",0.308,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 191G - UPTON, E.R.",0.143,0.071,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 250 - REDMOND, S.L.",0.538,0.231,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 5 - HOLMES, J.A.",0.295,0.071,0.558,0.019,0.005,0.029,0.007,NA,0.002,0.002,NA,0.005,0.007
"MUSCLG 60 - REPLOGLE, H.D.",0.687,0.061,0.222,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA
"MUSCLG 69 - REDMOND, S.L.",0.521,0.043,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAV SCI 1A - BOYD, E.F.",0.8,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"NEURO M202 - DE BIASE, L.M.",0.593,0.037,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEUROSC 10 - BABIEC, W.E.",0.33,0.106,0.277,0.128,0.053,0.043,0.011,0.011,0.032,NA,NA,NA,0.011
"NEUROSC 102 - LEBELLE, J.",0.504,0.076,NA,0.092,0.031,0.099,0.023,0.023,0.038,0.069,NA,NA,0.046
"NEUROSC 150 - GE, W.",0.129,0.097,0.742,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA
"NEUROSC 189HC - CHANDLER, S.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEUROSC 20 - ROMERO, R.",0.545,0.091,NA,NA,NA,0.182,NA,NA,NA,NA,NA,NA,0.182
"NEUROSC CM123 - COLWELL, C.S.",0.667,0.167,0.083,0.042,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"NEUROSC M101A - CHANDLER, S.H.",0.197,0.149,0.038,0.202,0.053,0.159,0.062,0.014,0.067,0.038,NA,0.01,0.01
"NEUROSC M135 - BABIEC, W.E.",0.316,0.105,0.526,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"NEUROSC M170 - TRAMO, M.J.",0.8,0.067,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 10 - SALEM, B.E.",0.635,0.154,0.173,0.019,NA,0.019,NA,NA,NA,NA,NA,NA,NA
"NURSING 150A - BRALOCK, A.R.",0.233,0.117,0.6,0.008,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"NURSING 152A - DIXON, E.L.",0.52,0.14,0.24,NA,0.02,0.08,NA,NA,NA,NA,NA,NA,NA
"NURSING 152B - CARPENTER, C.L.",0.306,0.408,0.061,0.02,0.02,0.184,NA,NA,NA,NA,NA,NA,NA
"NURSING 161 - BRIDEWELL, P.A.",0.24,0.5,NA,0.02,0.02,0.22,NA,NA,NA,NA,NA,NA,NA
"NURSING 162C - CUENCA, E.L.",0.294,0.412,0.039,0.098,NA,0.157,NA,NA,NA,NA,NA,NA,NA
"NURSING 174 - DEMMAN, B.L.",0.463,0.138,0.35,0.008,0.008,0.033,NA,NA,NA,NA,NA,NA,NA
"NURSING 200 - CARPENTER, C.L.",0.4,0.462,0.088,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"NURSING 204 - THOMAS, E.A.",0.405,0.108,0.459,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA
"NURSING 212 - CHOI, S.E.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 216C - GAWLINSKI, A.F.",0.452,0.387,0.129,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA
"NURSING 220 - VERZEMNIEKS, I.L.",0.323,0.161,0.29,0.032,NA,0.161,NA,NA,0.032,NA,NA,NA,NA
"NURSING 230A - STUDER, K.M.",0.214,0.057,0.714,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA
"NURSING 231 - AN, D.",0.169,0.036,0.783,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA
"NURSING 237A - PIKE, N.A.",0.429,0.048,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 239C - LAZAR, J.",0.44,0.12,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 250 - CLARK, L.",0.043,NA,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 269 - CUENCA, E.L.",0.151,NA,0.822,NA,NA,0.014,NA,NA,0.014,NA,NA,NA,NA
"NURSING 401 - BUSH, N.",0.458,NA,0.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 402 - LAZAR, J.",0.042,NA,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 405 - BROWN-SALTZMAN, K.",0.458,0.125,0.375,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 462 - KNOLL, M.P.",0.282,0.451,0.127,0.014,NA,0.099,NA,0.028,NA,NA,NA,NA,NA
"NURSING 463 - MINASYAN, Z.",0.606,0.155,0.211,0.014,0.014,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 464 - JACOB, E.",0.333,0.111,0.528,NA,NA,0.014,NA,0.014,NA,NA,NA,NA,NA
"NURSING 470B - BUSH, N.",0.733,NA,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NURSING 50 - LI, J.",0.317,0.133,0.433,0.017,NA,0.067,0.033,NA,NA,NA,NA,NA,NA
"NURSING 54B - BATES-JENSEN, B.M.",0.4,0.32,0.08,0.08,0.04,0.08,NA,NA,NA,NA,NA,NA,NA
"NURSING C155 - CHEN, W.",0.333,0.056,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORL BIO 275 - HU, S.",0.214,0.357,0.143,0.143,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"PBMED 205 - MCNITT-GRAY, M.",0.429,NA,0.286,0.143,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"PBMED 218 - MACKENZIE-GRAHAM,",0.182,0.545,0.091,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"PEDS 199 - KOSACK, A.S.",0.87,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 100A - CRAGER, A.D.",0.413,0.223,NA,0.158,0.033,0.125,NA,NA,0.016,NA,NA,NA,0.033
"PHILOS 117 - HSU, A.",0.12,0.32,NA,0.12,NA,0.28,NA,NA,NA,NA,NA,NA,0.16
"PHILOS 125 - SMITH, S.R.",0.233,0.233,0.233,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 130 - SMITH, S.R.",0.571,0.195,0.052,0.052,0.052,0.052,NA,NA,NA,NA,0.013,NA,0.013
"PHILOS 137 - ARMSTRONG, J.D.",0.55,0.275,0.025,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"PHILOS 150 - MCHOSE, J.B.",0.281,0.438,0.094,0.031,0.031,0.094,NA,NA,NA,NA,NA,NA,0.031
"PHILOS 167 - DOVER, D.J.",0.75,0.143,NA,0.036,0.036,0.036,NA,NA,NA,NA,NA,NA,NA
"PHILOS 168 - SCHAEFFER, L.J.",0.697,0.152,NA,0.03,NA,0.03,0.03,NA,NA,0.03,NA,NA,0.03
"PHILOS 170 - BURGE, C.T.",0.25,0.25,NA,0.062,0.083,0.167,0.021,NA,0.083,NA,0.021,0.021,0.042
"PHILOS 177B - JOHNSON, M.C.",0.192,0.5,0.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038
"PHILOS 185 - HSU, A.",0.276,0.345,NA,0.034,0.034,0.31,NA,NA,NA,NA,NA,NA,NA
"PHILOS 191 - JAGNOW, R.",0.462,0.077,0.385,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"PHILOS 22 - DEWITT, J.A.",0.166,0.267,NA,0.198,0.06,0.253,0.009,0.005,0.037,NA,NA,NA,0.005
"PHILOS 287 - ARMSTRONG, J.D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILOS 31 - LEVY, S.R.",0.458,0.144,0.042,0.076,0.051,0.136,0.025,0.008,0.025,0.017,NA,NA,0.017
"PHILOS 5 - NORMORE, C.G.",0.407,0.249,0.04,0.113,0.034,0.13,NA,0.011,0.011,NA,0.006,NA,NA
"PHILOS 6 - GALLAGHER, K.J.",0.482,0.351,NA,NA,NA,0.162,NA,NA,NA,NA,NA,NA,0.005
"PHILOS 7 - RESCORLA, M.A.",0.091,0.191,NA,0.292,0.086,0.167,0.048,0.024,0.081,0.005,NA,0.01,0.005
"PHILOS C110 - HILTUNEN, A.S.",0.333,0.3,NA,0.067,0.033,0.267,NA,NA,NA,NA,NA,NA,NA
"PHILOS C115 - BURGE, C.T.",0.158,0.289,NA,0.132,0.053,0.158,0.053,0.053,0.053,NA,NA,0.026,0.026
"PHILOS C119 - CRIMI, M.J.",0.267,0.233,0.233,0.067,0.1,0.1,NA,NA,NA,NA,NA,NA,NA
"PHILOS C127A - KAPLAN, D.B.",0.189,0.189,0.135,0.135,0.108,0.243,NA,NA,NA,NA,NA,NA,NA
"PHILOS C154B - HIERONYMI, P.",0.244,0.341,0.049,0.122,0.024,0.171,0.024,NA,NA,NA,NA,NA,0.024
"PHILOS M103A - ELLIS, R.M.",0.562,0.375,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"PHILOS M175 - JOHNSON, M.C.",0.25,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 107 - FRISCIA, A.R.",0.536,0.227,0.052,0.052,0.024,0.09,0.005,NA,0.014,NA,NA,NA,NA
"PHYSCI 111L - COOPER, R.H.",0.844,0.109,0.016,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 147 - GLANZMAN, D.L.",0.569,0.138,0.207,0.017,0.017,0.034,NA,NA,0.017,NA,NA,NA,NA
"PHYSCI 155 - TIDBALL, J.G.",0.486,0.027,0.297,0.054,0.054,0.027,NA,0.027,0.027,NA,NA,NA,NA
"PHYSCI 165 - FRYE, M.A.",0.395,0.209,0.256,NA,0.023,0.047,NA,NA,0.047,NA,NA,NA,0.023
"PHYSCI 194A - HASSON, T.W.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 194A - MCEVOY, M.M.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSCI 289A - ROWAT, A.C.",0.765,0.059,NA,0.059,NA,0.059,NA,NA,NA,NA,NA,NA,0.059
"PHYSCI 5 - ESDIN, J.",0.772,0.087,0.012,0.02,0.022,0.057,0.005,0.002,0.015,NA,NA,NA,0.007
"PHYSCI C144 - GOMEZ-PINILLA, F.",0.465,0.268,0.141,0.028,0.014,0.085,NA,NA,NA,NA,NA,NA,NA
"PHYSCI CM123 - COLWELL, C.S.",0.553,0.237,0.158,NA,NA,0.026,NA,0.026,NA,NA,NA,NA,NA
"PHYSCI M135 - BABIEC, W.E.",0.211,0.105,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 10 - CHAKRAVARTY, S.",0.48,0.32,0.1,0.04,NA,0.04,NA,NA,NA,NA,NA,NA,0.02
"PHYSICS 105A - MUSUMECI, P.",0.343,0.2,NA,0.114,0.143,0.114,0.029,0.029,NA,NA,NA,NA,0.029
"PHYSICS 105B - GELMINI, G.B.",0.278,0.167,0.083,0.083,0.083,0.25,0.028,NA,NA,NA,NA,NA,0.028
"PHYSICS 110A - HUDSON, E.R.",0.189,0.162,0.054,0.216,0.054,0.027,0.108,0.081,0.054,0.027,NA,NA,0.027
"PHYSICS 110B - BACHTIS, M.",0.117,0.16,0.053,0.138,0.128,0.106,0.128,0.032,0.128,NA,NA,0.011,NA
"PHYSICS 112 - BROWN, S.",0.286,0.143,NA,0.086,0.2,0.114,0.086,NA,0.086,NA,NA,NA,NA
"PHYSICS 115A - JIANG, H.",0.192,0.231,0.038,0.154,0.135,0.115,0.038,0.019,0.038,0.019,NA,NA,0.019
"PHYSICS 115B - ZOCCHI, G.",0.411,0.082,0.082,0.178,0.041,0.082,0.055,NA,0.068,NA,NA,NA,NA
"PHYSICS 124 - KANG, Z.",0.081,0.27,0.216,0.081,0.081,0.081,0.081,NA,0.081,NA,NA,NA,0.027
"PHYSICS 131 - WANG, S.",0.17,0.223,0.149,0.128,0.117,0.117,0.043,NA,0.043,NA,NA,0.011,NA
"PHYSICS 140A - REGAN, B.C.",0.31,0.103,0.138,0.069,0.069,0.172,NA,0.069,0.069,NA,NA,NA,NA
"PHYSICS 17 - NI, N.",0.306,0.071,0.071,0.214,0.082,0.143,0.051,0.02,0.031,0.01,NA,NA,NA
"PHYSICS 180F - ONG, R.A.",0.2,0.1,0.5,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 180N - ROY, R.",0.333,0.067,0.2,0.067,NA,0.067,0.067,NA,NA,0.067,NA,NA,0.133
"PHYSICS 18L - GUTIERREZ, C.",0.286,0.286,0.071,0.071,0.036,0.107,NA,0.036,NA,0.036,NA,NA,0.071
"PHYSICS 192 - ARISAKA, K.",0.689,NA,0.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 192M - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 1A - RAJAPAKSE, R.",0.215,0.21,0.105,0.099,0.077,0.249,NA,NA,0.044,NA,NA,NA,NA
"PHYSICS 1AH - WILLIAMS, G.A.",0.301,0.145,0.12,0.096,0.048,0.277,NA,NA,NA,NA,NA,NA,0.012
"PHYSICS 1B - NIEMANN, C.",0.406,0.211,0.072,0.061,0.028,0.167,0.011,0.033,0.006,NA,NA,NA,0.006
"PHYSICS 1B - VINSON, A.M.",0.312,0.104,0.153,0.125,0.069,0.083,0.035,0.014,0.062,0.007,NA,0.014,0.021
"PHYSICS 1C - CORBIN, B.",0.51,0.048,0.007,0.193,0.048,0.069,0.069,0.028,0.014,NA,NA,NA,0.014
"PHYSICS 1C - ROMBES III, N.D.",0.321,0.107,0.453,0.025,0.019,0.044,0.006,0.013,0.006,0.006,NA,NA,NA
"PHYSICS 220 - PUTTERMAN, S.J.",0.419,0.065,0.161,0.097,0.032,0.226,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 221A - TSERKOVNYAK, Y.",0.211,0.211,0.132,0.105,0.026,0.289,0.026,NA,NA,NA,NA,NA,NA
"PHYSICS 222A - MORI, W.B.",0.2,0.467,0.267,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 230A - D'HOKER, E.",0.533,0.2,0.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHYSICS 4AL - NI, N.",0.664,0.071,0.241,0.004,NA,0.016,NA,NA,0.004,NA,NA,NA,NA
"PHYSICS 4BL - ARISAKA, K.",0.406,0.292,0.184,0.005,0.005,0.104,NA,NA,NA,NA,NA,NA,0.005
"PHYSICS 5A - LANCASTER, J.A.",0.305,0.133,0.29,0.077,0.041,0.071,0.012,0.012,0.015,0.012,0.006,0.009,0.018
"PHYSICS 5A - SAKAI, S.",0.277,0.127,0.451,0.058,0.017,0.052,NA,NA,0.006,0.006,NA,0.006,NA
"PHYSICS 5A - TUNG, N.C.",0.933,0.027,NA,0.013,0.005,0.011,0.003,NA,0.003,0.003,0.003,NA,NA
"PHYSICS 5B - BAUER, D.J.",0.477,0.186,0.087,0.035,0.041,0.128,0.023,0.006,0.012,NA,NA,NA,0.006
"PHYSICS 5B - HOLCZER, K.",0.485,0.087,0.408,0.01,0.005,NA,0.005,NA,NA,NA,NA,NA,NA
"PHYSICS 5C - JIANG, H.",0.47,0.159,0.067,0.11,0.049,0.079,0.03,0.012,0.024,NA,NA,NA,NA
"PHYSICS 5C - MILLS, E.A.",0.222,0.07,0.538,0.047,0.029,0.053,0.006,0.006,0.006,0.006,NA,NA,0.018
"POL SCI 10 - PANAGIA, D.",0.528,0.142,0.128,0.05,0.023,0.087,0.009,0.005,0.009,NA,0.005,NA,0.014
"POL SCI 111C - BARKER, K.",0.336,0.215,0.009,0.093,0.019,0.178,0.037,0.019,0.056,NA,0.009,NA,0.028
"POL SCI 114A - TROJAN, C.",0.347,0.337,0.021,0.126,0.032,0.095,0.021,NA,0.021,NA,NA,NA,NA
"POL SCI 116B - DIENSTAG, J.F.",0.411,0.152,0.08,0.107,0.054,0.134,NA,0.009,0.009,NA,0.009,0.009,0.027
"POL SCI 119 - BRANSTETTER, J.G.",0.298,0.009,0.211,NA,NA,0.482,NA,NA,NA,NA,NA,NA,NA
"POL SCI 120B - CHATTERJEE, S.",0.562,0.143,NA,0.054,0.071,0.098,0.018,0.018,0.036,NA,NA,NA,NA
"POL SCI 123A - JOHNS, L.N.",0.289,0.213,0.107,0.098,0.04,0.107,0.044,0.013,0.036,0.009,0.009,0.009,0.027
"POL SCI 124A - ROBERTS, T.L.",0.286,0.204,0.082,0.173,0.041,0.071,0.051,0.01,0.041,NA,NA,0.01,0.031
"POL SCI 132A - WAXMAN, D.",0.543,0.233,0.043,0.043,0.043,0.078,NA,NA,NA,NA,NA,0.009,0.009
"POL SCI 139 - HOFNUNG, M.",0.291,0.155,0.126,0.184,0.039,0.029,0.087,NA,0.029,0.049,NA,NA,0.01
"POL SCI 140B - JAMES, S.C.",0.356,0.228,0.03,0.139,NA,0.168,0.04,NA,0.02,NA,NA,NA,0.02
"POL SCI 141B - ZHENG, B.Q.",0.182,0.155,NA,0.227,0.073,0.282,0.018,NA,0.055,NA,NA,NA,0.009
"POL SCI 141E - DESVEAUX, J.A.",0.7,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL SCI 143C - TINNIN, A.V.",0.615,0.034,0.197,0.06,NA,0.051,0.017,0.009,NA,0.009,NA,NA,0.009
"POL SCI 145B - LEBOW, C.C.",0.307,0.341,0.068,0.125,NA,0.091,0.023,0.023,NA,NA,NA,NA,0.023
"POL SCI 149 - PERIS, W.E.",0.938,0.016,NA,0.016,0.016,0.016,NA,NA,NA,NA,NA,NA,NA
"POL SCI 149 - SHERRER, T.A.",0.424,0.203,0.169,0.042,0.025,0.102,0.017,0.008,0.008,NA,NA,NA,NA
"POL SCI 151A - POSNER, D.N.",0.609,0.217,NA,0.096,0.009,0.052,NA,0.009,NA,NA,NA,NA,0.009
